601,tt0083866,2.900556,10500000,792910554,E.T. the Extra-Terrestrial,Henry Thomas|Drew Barrymore|Robert MacNaughton|Dee Wallace|Peter Coyote,http://www.et20.com/,Steven Spielberg,He is afraid. He is alone. He is three million light years from home.,farewell|homesickness|nasa|extraterrestrial technology|operation,A science fiction fairytale about an extra-terrestrial who is left behind on Earth and is found by a young boy who befriends him. This heart-warming fantasy from Director Steven Spielberg became one of the most commercially successful films of all time.,115,Science Fiction|Adventure|Family|Fantasy,Universal Pictures|Amblin Entertainment,4/3/82,1830,7.2,1982,23726245.2267878,1791694309.24878
168259,tt2820852,9.335014,190000000,1506249360,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,http://www.furious7.com/,James Wan,Vengeance Hits Home,car race|speed|revenge|suspense|car,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,137,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,4/1/15,2947,7.3,2015,174799923.088033,1385748801.47052
8587,tt0110357,4.78268799999999,45000000,788241776,The Lion King,Jonathan Taylor Thomas|Matthew Broderick|James Earl Jones|Jeremy Irons|Moira Kelly,http://movies.disney.com/the-lion-king,Roger Allers|Rob Minkoff,Life's greatest adventure is finding your place in the Circle of Life.,loss of parents|wild boar|uncle|shaman|redemption,A young lion cub named Simba can't wait to be king. But his uncle craves the title for himself and will stop at nothing to get it.,89,Family|Animation|Drama,Walt Disney Pictures|Walt Disney Feature Animation,6/23/94,3489,7.7,1994,66200020.2719173,1159591590.00826
15121,tt0059742,1.313676,8200000,163214286,The Sound of Music,Julie Andrews|Christopher Plummer|Eleanor Parker|Richard Haydn|Peggy Wood,,Robert Wise,The happiest sound in all the world!,austria|world war ii|musical|music competition|based on play,Film adaptation of a classic Rodgers and Hammerstein musical based on a nun who becomes a governess for an Austrian family.,174,Drama|Family|Music|Romance,Robert Wise Productions|Argyle Enterprises,3/2/65,620,7.2,1965,56748622.2887826,1129534861.99357
660,tt0059800,1.910465,11000000,141195658,Thunderball,Sean Connery|Claudine Auger|Adolfo Celi|Luciana Paluzzi|Rik Van Nutter,http://www.mgm.com/view/movie/2009/Thunderball/,Terence Young,Look up!  Look down!  Look out!,paris|florida|fighter pilot|sanatorium|secret organization,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,130,Adventure|Action|Thriller,Eon Productions|Metro-Goldwyn-Mayer (MGM),12/16/65,331,6.3,1965,76126200.6312938,977153544.470504
93456,tt1690953,3.928789,76000000,970761885,Despicable Me 2,Steve Carell|Kristen Wiig|Benjamin Bratt|Miranda Cosgrove|Russell Brand,http://www.despicableme.com/,Pierre Coffin|Chris Renaud,Back 2 Work,secret agent|bakery|falling in love|father daughter relationship|duringcreditsstinger,Gru is recruited by the Anti-Villain League to help deal with a powerful new super criminal.,98,Animation|Comedy|Family,Universal Pictures|Illumination Entertainment,6/25/13,3436,7,2013,71138534.8082722,908665501.929164
251,tt0099653,1.513223,22000000,505000000,Ghost,Patrick Swayze|Demi Moore|Tony Goldwyn|Whoopi Goldberg|Vincent Schiavelli,,Jerry Zucker,A love that will last forever.,corruption|fortune teller|money transfer|money laundering|pottery,Gothamites Sam and Molly see their romance shattered when a street thug kills Sam during a mugging. But love endures beyond the grave when a spectral Sam learns that Molly is in danger and he must find a way to warn her before she suffers his fate.,127,Fantasy|Drama|Thriller|Mystery|Romance,Paramount Pictures,7/12/90,714,6.7,1990,36715767.8869207,842793762.858863
253,tt0070328,1.549139,7000000,161777836,Live and Let Die,Roger Moore|Yaphet Kotto|Jane Seymour|Clifton James|Julius Harris,http://www.mgm.com/view/movie/1130/Live-and-Let-Die/,Guy Hamilton,Roger Moore is James Bond.,london|new york|bomb|england|spy,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,121,Adventure|Action|Thriller,Eon Productions|Metro-Goldwyn-Mayer (MGM),7/5/73,293,6.1,1973,34378117.0515951,794516768.908823
9277,tt0070735,0.863155999999999,5500000,159616327,The Sting,Paul Newman|Robert Redford|Robert Shaw|Charles Durning|Ray Walston,,George Roy Hill,...all it takes is a little Confidence.,chicago|bet|horse race|repayment|con man,Set in the 1930's this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.,129,Comedy|Crime|Drama,Universal Pictures,12/25/73,304,7.7,1973,27011377.6833962,783901253.278813
667,tt0062512,1.554808,9500000,111584787,You Only Live Twice,Sean Connery|Akiko Wakabayashi|Karin Dor|Mie Hama|TetsurÅ Tamba,http://www.mgm.com/view/movie/2347/You-Only-Live-Twice/,Lewis Gilbert,You Only Live Twice...and Twice is the only way to live!,london|japan|england|assassination|helicopter,A mysterious space craft kidnaps a Russian and American space capsule and brings the world on the verge of another World War. James Bond investigates the case in Japan and meets with his archenemy Blofeld. The fifth film from the legendary James Bond series starring Sean Connery as the British super agent.,117,Action|Thriller|Adventure,Eon Productions,6/12/67,301,6.2,1967,62099255.5279776,729403389.573469
