252838,tt0884732,1.510096,23000000,79799880,The Wedding Ringer,Kevin Hart|Josh Gad|Kaley Cuoco|Affion Crockett|Jorge Garcia,,Jeremy Garelick,He's the best man... money can buy.,male friendship|impersonator|wedding|lying|best man,"Doug Harris is a loveable but socially awkward groom-to-be with a problem: he has no best man.  With less than two weeks to go until he marries the girl of his dreams, Doug is referred to Jimmy Callahan, owner and CEO of Best Man, Inc., a company that provides flattering best men for socially challenged guys in need.  What ensues is a hilarious wedding charade as they try to pull off the big con, and an unexpected budding bromance between Doug and his fake
 best man Jimmy.",101,Comedy,Miramax Films|Screen Gems|LStar Capital,1/16/15,446,6.5,2015,21159990.689604,73415857.2970227
207933,tt1772264,1.570083,0,0,Stonehearst Asylum,Kate Beckinsale|Jim Sturgess|Ben Kingsley|Michael Caine|Brendan Gleeson,,Brad Anderson,No one is what they seem.,mental institution|doctor|mental patient|edgar allan poe|based on short story,"A Harvard Medical School graduate takes a position at a mental institution and soon becomes obsessed with a female mental patient, but he has no idea of a recent and horrifying staffing change.
 The Call director Brad Anderson returns to the helm for this psychological thriller loosely based on Edgar Allan Poe's 1845 short story The System of Doctor Tarr and Professor Fether, and centered on the experiences of a Harvard Medical School graduate (Jim Sturgess) who becomes obsessed with a mental patient named Eliza Graves (Kate Beckinsale) while working at a mental asylum that's been taken over by the inmates.",112,Horror|Thriller,Icon Productions|Sobini Films,9/11/14,247,6.6,2014,0,0
87178,tt1498878,0.160177,0,0,The Whisperer in Darkness,Stephen Blackehart|Matt Foyer|Barry Lynch|Annie Abrams|Matt Lagan,http://www.cthulhulives.org/whisperer/index.html,Sean Branney,,suspense|thriller,"Written in 1931, H.P. Lovecraft's iconic genre-bending tale of suspense and alien terrors is brought to life in the style of the classic horror films of the 1930s like Frankenstein, Dracula and King Kong. Using its Mythoscopeâ„¢ process â€” a mix of vintage and modern techniques â€” the H.P. Lovecraft Historical Society expands on Lovecraft's original tale while still bringing you unparalleled authenticity.
 Horror and science fiction collide in the adventure of Albert Wilmarth, a folklore professor at Miskatonic University, as he investigates legends of strange creatures rumored to dwell in the most remote mountains of Vermont. Wilmarthâ€™s investigation leads him to a discovery of horrors quite beyond anything he ever imagined, and ends in a desperate attempt to escape the remote New England hills with his life and sanity intact.",104,Thriller|Science Fiction|Horror|Mystery,,3/12/11,14,6.4,2011,0,0
87558,tt1754787,0.0803,0,0,Les tribulations d'une caissiÃ¨re,DÃ©borah FranÃ§ois|Elsa Zylberstein|Nicolas Giraud|Gilles Cohen|Firmine Richard,,Pierre Rambaldi,,,"La vie nâ€™est pas rose tous les jours pour Solweig, caissiÃ¨re dans un supermarchÃ©. Mais elle garde le sourire, malgrÃ© les remarques souvent dÃ©plaisantes des clients et un chef teigneux. Peut-Ãªtre grÃ¢ce au blog quâ€™elle tient en secret, oÃ¹ elle sâ€™Ã©panche avec humour sur son quotidien difficileâ€¦
 Un soir, sous la neige, son destin croise celui de Charles. Le jeune homme tombe aussitÃ´t amoureux dâ€™elle, sans se douter quâ€™ils ne sont pas du mÃªme monde.
 Mais si un simple blog peut changer le sort de milliers de caissiÃ¨res, nâ€™est-il pas permis de croire aux contes de fÃ©es ?",102,Comedy,Big World,12/14/11,13,4.4,2011,0,0
11891,tt0240468,0.177630999999999,0,0,Kung Pow: Enter the Fist,Hui Lou Chen|Tad Horino|Liu Chia-Yung|Steve Oedekerk|Jennifer Tung,,Steve Oedekerk,,loss of family|loss of parents|supernatural powers|invulnerability|spoof,"A movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together.
 As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way, he encounters some strange characters",81,Action|Comedy,Twentieth Century Fox Film Corporation|O Entertainment,1/25/02,71,5.9,2002,0,0
90369,tt1937264,0.800033,0,0,Now Is Good,Dakota Fanning|Jeremy Irvine|Kaya Scodelario|Olivia Williams|Paddy Considine,,Ol Parker,,cancer|teenager|teenage drama|bucket list|based on young adult book,"Tessa, a girl who is dying of leukaemia and tries to enjoy her remaining life as much as she possibly can.
 She compiles a list of things she'd like to do before passing away. Topping the list is her desire to lose her virginity.",103,Drama|Romance,Goldcrest Pictures,5/25/12,246,7.4,2012,0,0
25248,tt0384488,0.042066,0,0,Saint Ralph,Adam Butcher|Campbell Scott|Michael Kanev|Gordon Pinsent|Tamara Hope,,Michael McGowan,He's hoping for a miracle. He doesn't have a prayer.,sport|independent film,"This Canadian made comedy/drama, set in Hamilton, Ontario in 1954, is a sweet and - at times - goofy story that becomes increasingly poignant as the minutes tick by.
40969,tt0081617,0.416288,3500000,0,Terror Train,Jamie Lee Curtis|Ben Johnson|Hart Bochner|David Copperfield|Derek McKinnon,,Roger Spottiswoode,The boys and girls of Sigma Phi. Some will live. Some will die.,female nudity|magic|nudity|mask|college,"A masked killer targets six college kids responsible for a prank gone wrong three years earlier and who are currently throwing a large New Year's Eve costume party aboard a moving train.
 Riding the coattails of the resurgent boom in horror films after the success of Halloween, Terror Train features teeth-chattering direction by Roger Spottiswoode and pristine cinematography from John Alcott.  The story is the basic slasher film premise, remounted on a moving train.
 A college fraternity decides to hold a New Year's Eve party on a train.  But an uninvited guest, a disturbed ex-fraternity member, decides to take revenge on the partying students by killing them off one by one in increasingly grisly fashion.",97,Horror|Thriller,Sandy Howard Productions|Astral Bellevue PathÃ©|Triple T Productions,10/3/80,19,5.4,1980,9261128.63522451,0
12229,tt0122515,0.186773,0,0,The Acid House,Stephen McCole|Maurice Roeves|Garry Sweeney|Jenny McCrindle|Ewen Bremner,,Paul McGuigan,,flying|scotland|based on novel|baby|ecstasy,"THE ACID HOUSE is a surreal triptych adapted by ""Trainspotting"" author Irvine Welsh from his acclaimed collection of short stories.
 Combining a vicious sense of humor with hard-talking drama, the film reaches into the hearts and minds of the chemical generation, casting a dark and unholy light into the hidden corners of the human psyche.
 Directed by Paul McGuigan, the film dramatises three stories from the book: 1- The Granton Star Cause, 2- A Soft Touch &amp; 3- The Acid House.",106,Comedy|Drama,,7/2/98,15,5.8,1998,0,0
